restaurant_title,restaurant_phoneNumber,restaurant_address,restaurant_numReview,restaurant_starCount,restaurant_price,restaurant_category,restaurant_district,restaurant_web
Olmsted,(718) 552-2610,659 Vanderbilt Ave,351,4,$$$,['American (New)'],Prospect Heights,https://www.yelp.com/biz/olmsted-brooklyn?osq=Restaurants
Dutch Freds,(646) 918-6923,307 W 47th St,1364,4.5,$$,"['Cocktail Bars', 'American (New)', 'Breakfast & Brunch']",Theater District,https://www.yelp.com/biz/dutch-freds-new-york-2?osq=Restaurants
Momofuku Ssam Bar,(212) 254-3500,207 2nd Ave,2402,4,$$$,['American (New)'],East Village,https://www.yelp.com/biz/momofuku-ssam-bar-new-york-5?osq=Restaurants
Kaikagetsu NYC,(646) 590-3900,162 Orchard St,45,4.5,-,[],Lower East Side,https://www.yelp.com/biz/kaikagetsu-nyc-new-york-2?osq=Restaurants
The Factory 380,(212) 686-6380,380 3rd Ave,48,4.5,$$,"['Bars', 'American (New)', 'Breakfast & Brunch']",Kips Bay,https://www.yelp.com/biz/the-factory-380-new-york?osq=Restaurants
Verde On Smith,(718) 222-1525,216 Smith St,474,4,$$,"['Italian', 'Seafood', 'Breakfast & Brunch']",Cobble Hill,https://www.yelp.com/biz/verde-on-smith-brooklyn-4?osq=Restaurants
Oda House,(212) 353-3838,76 Ave B,342,4,$$,"['Wine Bars', 'Georgian']",Alphabet City,https://www.yelp.com/biz/oda-house-new-york?osq=Restaurants
La Sirène-Soho,(212) 925-3061,558 Broome St,1582,4.5,$$$,['French'],South Village,https://www.yelp.com/biz/la-sir%C3%A8ne-soho-new-york?osq=Restaurants
Despaña,(212) 219-5050,408 Broome St,560,4.5,$$,"['Specialty Food', 'Spanish', 'Imported Food']",SoHo,https://www.yelp.com/biz/despa%C3%B1a-new-york-2?osq=Restaurants
Sweet Chick,(347) 725-4793,164 Bedford Ave,1916,4,$$,"['Southern', 'Breakfast & Brunch', 'American (Traditional)']",Williamsburg - North Side,https://www.yelp.com/biz/sweet-chick-brooklyn?osq=Restaurants
Kaoru,(212) 867-0874,306 E 46th St,299,4.5,$$,['Japanese'],Midtown East,https://www.yelp.com/biz/kaoru-new-york?osq=Restaurants
Nowadays,(347) 523-8535,56-06 Cooper Ave,159,3.5,$$,"['Bars', 'American (Traditional)']",Bushwick,https://www.yelp.com/biz/nowadays-ridgewood?osq=Restaurants
Pippali,(212) 689-1999,129 E 27th St,713,4,$$,['Indian'],Flatiron,https://www.yelp.com/biz/pippali-new-york?osq=Restaurants
Lombardi’s Pizza,(212) 941-7994,32 Spring St,5961,4,$$,['Pizza'],Nolita,https://www.yelp.com/biz/lombardis-pizza-new-york-4?osq=Restaurants
La Vara,(718) 422-0065,268 Clinton St,349,4,$$$,['Spanish'],Cobble Hill,https://www.yelp.com/biz/la-vara-brooklyn?osq=Restaurants
Saraghina,(718) 574-0010,435 Halsey St,829,4,$$,"['Pizza', 'Breakfast & Brunch', 'Bakeries']",Bedford Stuyvesant,https://www.yelp.com/biz/saraghina-brooklyn?osq=Restaurants
Beauty & Essex,(212) 614-0146,146 Essex St,3362,4,$$$,['American (New)'],Lower East Side,https://www.yelp.com/biz/beauty-and-essex-new-york?osq=Restaurants
Momofuku Noodle Bar,10 Columbus Cir,Hell's Kitchen,215,4,-,[],Hell's Kitchen,https://www.yelp.com/biz/momofuku-noodle-bar-new-york-5?osq=Restaurants
BLVD Bistro,(212) 678-6200,2149 Frederick Douglass Blvd,752,4,$$,"['American (Traditional)', 'Soul Food', 'Breakfast & Brunch']",Harlem,https://www.yelp.com/biz/blvd-bistro-new-york?osq=Restaurants
Top Thai Greenwich,(646) 726-4418,235 Sullivan St,1236,4.5,$$,"['Thai', 'Cocktail Bars', 'Halal']",Greenwich Village,https://www.yelp.com/biz/top-thai-greenwich-new-york?osq=Restaurants
Pig Beach,480 Union St,Gowanus,507,4,$$,"['Barbeque', 'Bars']",Gowanus,https://www.yelp.com/biz/pig-beach-brooklyn?osq=Restaurants
Boqueria Spanish Tapas - Upper East Side,(212) 343-2227,1460 2nd Ave,696,4,$$$,"['Tapas/Small Plates', 'Spanish', 'Tapas Bars']",Upper East Side,https://www.yelp.com/biz/boqueria-spanish-tapas-upper-east-side-new-york?osq=Restaurants
Ippudo Westside,(212) 974-2500,321 W 51st St,3566,4,$$,['Ramen'],Theater District,https://www.yelp.com/biz/ippudo-westside-new-york?osq=Restaurants
Pascalou,(212) 534-7522,1308 Madison Ave,201,4,$$,['French'],Upper East Side,https://www.yelp.com/biz/pascalou-new-york?osq=Restaurants
Cowgirl Seahorse,(212) 608-7873,259 Front St,560,4,$$,"['Tex-Mex', 'Seafood', 'Southern']",Financial District,https://www.yelp.com/biz/cowgirl-seahorse-new-york-2?osq=Restaurants
Totto Ramen - Midtown East,(212) 421-0052,248 E 52nd St,1089,4,$$,['Ramen'],Midtown East,https://www.yelp.com/biz/totto-ramen-midtown-east-new-york-2?osq=Restaurants
Suede,(347) 474-7328,5610 Clarendon Rd,1106,3.5,$$,['Caribbean'],East Flatbush,https://www.yelp.com/biz/suede-east-flatbush?osq=Restaurants
Peaches Shrimp and Crab,(718) 638-9500,285 Grand Ave,281,4,$$,"['Seafood', 'American (New)', 'Southern']",Clinton Hill,https://www.yelp.com/biz/peaches-shrimp-and-crab-brooklyn-4?osq=Restaurants
Excuse My French,(212) 780-9600,96 Orchard St,262,4,$$,"['Bars', 'Tapas Bars', 'French']",Lower East Side,https://www.yelp.com/biz/excuse-my-french-new-york?osq=Restaurants
ABC Kitchen,(212) 475-5829,35 E 18th St,2921,4,$$$,"['American (New)', 'French']",Flatiron,https://www.yelp.com/biz/abc-kitchen-new-york?osq=Restaurants
Boqueria,(212) 343-4255,171 Spring St,954,4,$$,"['Spanish', 'Tapas Bars', 'Tapas/Small Plates']",South Village,https://www.yelp.com/biz/boqueria-new-york-13?osq=Restaurants
Lowerline,(347) 533-7110,794 Washington Ave,129,4.5,$$,"['Cajun/Creole', 'Seafood', 'Southern']",Prospect Heights,https://www.yelp.com/biz/lowerline-brooklyn-2?osq=Restaurants
The Thirsty Koala,(718) 626-5430,35-12 Ditmars Blvd,1048,4.5,$$,"['Australian', 'Bars', 'Breakfast & Brunch']",Astoria,https://www.yelp.com/biz/the-thirsty-koala-astoria?osq=Restaurants
Westlight,(718) 307-7100,111 N 12th St,444,3.5,$$$,"['Tapas/Small Plates', 'Cocktail Bars', 'Wine Bars']",Williamsburg - North Side,https://www.yelp.com/biz/westlight-brooklyn?osq=Restaurants
St. Mazie,(718) 384-4807,345 Grand St,210,4,$$,"['Bars', 'Comfort Food', 'Music Venues']",Williamsburg - North Side,https://www.yelp.com/biz/st-mazie-brooklyn-2?osq=Restaurants
The Meatball Shop,(212) 257-4363,200 9th Ave,853,4,$$,['Italian'],Chelsea,https://www.yelp.com/biz/the-meatball-shop-new-york-4?osq=Restaurants
Sweet Chick,(718) 484-7724,341 Flatbush Ave,553,4,$$,"['American (New)', 'Southern', 'Bars']",Prospect Heights,https://www.yelp.com/biz/sweet-chick-brooklyn-5?osq=Restaurants
Buddakan,(212) 989-6699,75 9th Ave,3855,4,$$$,"['Chinese', 'Bars', 'Asian Fusion']",Meatpacking District,https://www.yelp.com/biz/buddakan-new-york?osq=Restaurants
Miss KOREA BBQ,(212) 736-3232,10 W 32nd St,1630,3.5,$$,"['Korean', 'Barbeque']",Koreatown,https://www.yelp.com/biz/miss-korea-bbq-new-york?osq=Restaurants
Yakitori Totto,(212) 245-4555,251 W 55th St,1274,4,$$$,['Japanese'],Midtown West,https://www.yelp.com/biz/yakitori-totto-new-york?osq=Restaurants
Kashkaval Garden,(212) 245-1758,852 9th Ave,546,4,$$,"['Mediterranean', 'Fondue', 'Tapas Bars']",Hell's Kitchen,https://www.yelp.com/biz/kashkaval-garden-new-york?osq=Restaurants
Walter’s,(718) 488-7800,166 DeKalb Ave,495,4,$$,"['American (New)', 'Cocktail Bars']",Fort Greene,https://www.yelp.com/biz/walters-brooklyn?osq=Restaurants
Benson’s NYC,(646) 791-5765,181 Essex St,365,4.5,$$,"['American (New)', 'Breakfast & Brunch', 'Burgers']",Lower East Side,https://www.yelp.com/biz/bensons-nyc-new-york?osq=Restaurants
Blend,(718) 729-2800,4704 Vernon Blvd,803,4,$$,['Latin American'],Hunters Point,https://www.yelp.com/biz/blend-long-island-city?osq=Restaurants
Paulie Gee’s,(347) 987-3747,60 Greenpoint Ave,1200,4.5,$$,"['Pizza', 'Vegan', 'Italian']",Greenpoint,https://www.yelp.com/biz/paulie-gees-brooklyn?osq=Restaurants
Lobster Joint,(718) 389-8990,1073 Manhattan Ave,641,4,$$,['Seafood'],Greenpoint,https://www.yelp.com/biz/lobster-joint-brooklyn?osq=Restaurants
La Nonna Ristorante & Bar,(718) 302-1100,184 Kent Ave,275,4,$$,"['Italian', 'Bars']",Williamsburg - North Side,https://www.yelp.com/biz/la-nonna-ristorante-and-bar-brooklyn?osq=Restaurants
Fong On,(212) 334-5279,81 Division St,24,5,$,"['Specialty Food', 'Chinese', 'Desserts']",Chinatown,https://www.yelp.com/biz/fong-on-new-york?osq=Restaurants
Han Dynasty,(212) 858-9060,215 W 85th St,564,4,$$,['Szechuan'],Upper West Side,https://www.yelp.com/biz/han-dynasty-new-york-4?osq=Restaurants
Tribeca’s Kitchen,(212) 227-5100,200 Church St,455,4,$$,"['American (New)', 'Breakfast & Brunch', 'Diners']",TriBeCa,https://www.yelp.com/biz/tribecas-kitchen-new-york?osq=Restaurants
Ugly Baby,(347) 689-3075,407 Smith St,293,4.5,$$,"['Thai', 'Bars']",Carroll Gardens,https://www.yelp.com/biz/ugly-baby-brooklyn-3?osq=Restaurants
Per Se,(212) 823-9335,10 Columbus Cir,1595,4.5,$$$$,['French'],Hell's Kitchen,https://www.yelp.com/biz/per-se-new-york?osq=Restaurants
Five Leaves,(718) 383-5345,18 Bedford Ave,1572,4,$$,"['American (New)', 'Coffee & Tea', 'Bars']",Greenpoint,https://www.yelp.com/biz/five-leaves-brooklyn-2?osq=Restaurants
Amelie,(646) 422-7167,566 Amsterdam Ave,161,4.5,$$$,"['French', 'Wine Bars']",Upper West Side,https://www.yelp.com/biz/amelie-new-york-2?osq=Restaurants
Samurai Mama,(718) 599-6161,205 Grand St,573,4,$$,"['Japanese', 'Noodles']",Williamsburg - South Side,https://www.yelp.com/biz/samurai-mama-brooklyn?osq=Restaurants
Esme,(718) 383-0999,999 Manhattan Ave,323,4.5,$$,"['American (New)', 'Cocktail Bars']",Greenpoint,https://www.yelp.com/biz/esme-brooklyn-2?osq=Restaurants
Injera,(212) 206-9330,11 Abingdon Sq,562,4,$$,['Ethiopian'],West Village,https://www.yelp.com/biz/injera-new-york?osq=Restaurants
Nusr-Et Steakhouse,(212) 315-3660,60 W 53rd St,461,3.5,$$$$,"['Steakhouses', 'Turkish']",Midtown West,https://www.yelp.com/biz/nusr-et-steakhouse-new-york-4?osq=Restaurants
Tavola,(212) 273-1181,488 9th Ave,886,4,$$,"['Italian', 'Pizza', 'Wine Bars']",Midtown West,https://www.yelp.com/biz/tavola-new-york?osq=Restaurants
Madame Vo,(917) 261-2115,212 E 10th St,719,4,$$,['Vietnamese'],East Village,https://www.yelp.com/biz/madame-vo-new-york?osq=Restaurants
Osteria Cotta,(212) 873-8500,513 Columbus Ave,817,4,$$,"['Italian', 'Wine Bars', 'Venues & Event Spaces']",Upper West Side,https://www.yelp.com/biz/osteria-cotta-new-york?osq=Restaurants
Woorijip,(212) 244-1115,12 W 32nd St,2578,4,$,['Korean'],Koreatown,https://www.yelp.com/biz/woorijip-new-york-2?osq=Restaurants
Upland,(212) 686-1006,345 Park Ave S,936,4,$$$,"['American (New)', 'Burgers']",Flatiron,https://www.yelp.com/biz/upland-new-york?osq=Restaurants
Tacuba Hell’s Kitchen,(212) 245-4500,802 9th Ave,622,4,$$,"['Mexican', 'Latin American', 'Tapas Bars']",Theater District,https://www.yelp.com/biz/tacuba-hells-kitchen-new-york?osq=Restaurants
Topaz Noodle Bar,(212) 247-2277,129 W 56th St,604,4,$$,"['Thai', 'Noodles']",Midtown West,https://www.yelp.com/biz/topaz-noodle-bar-new-york?osq=Restaurants
TAO Uptown,(212) 888-2288,42 E 58th St,2506,3.5,$$$,['Asian Fusion'],Midtown East,https://www.yelp.com/biz/tao-uptown-new-york?osq=Restaurants
District Saigon,(718) 956-0007,37-15 Broadway,532,4,$$,"['Vietnamese', 'Cocktail Bars']",Astoria,https://www.yelp.com/biz/district-saigon-astoria?osq=Restaurants
Korzo,(718) 499-1199,667 5th Ave,437,4,$$,"['Modern European', 'Burgers']",South Slope,https://www.yelp.com/biz/korzo-brooklyn?osq=Restaurants
The Four Horsemen,(718) 599-4900,295 Grand St,163,4.5,$$,"['Wine Bars', 'American (New)']",Williamsburg - South Side,https://www.yelp.com/biz/the-four-horsemen-brooklyn?osq=Restaurants
The Hive,(929) 337-6409,119 Kent Ave,165,4,$$,"['Gastropubs', 'Breakfast & Brunch', 'American (Traditional)']",Williamsburg - North Side,https://www.yelp.com/biz/the-hive-brooklyn-2?osq=Restaurants
Del Posto,(212) 497-8090,85 10th Ave,1397,4,$$$$,['Italian'],Meatpacking District,https://www.yelp.com/biz/del-posto-new-york?osq=Restaurants
Okonomi,150 Ainslie St,Williamsburg - North Side,441,4.5,$$,"['Japanese', 'Seafood']",Williamsburg - North Side,https://www.yelp.com/biz/okonomi-brooklyn?osq=Restaurants
J.G. Melon,(212) 744-0585,1291 3rd Ave,1217,3.5,$$,"['American (Traditional)', 'Bars', 'Salad']",Upper East Side,https://www.yelp.com/biz/j-g-melon-new-york-4?osq=Restaurants
El Jeffe,(347) 365-8919,1483 Fulton St,212,4.5,$$,['New Mexican Cuisine'],Bedford Stuyvesant,https://www.yelp.com/biz/el-jeffe-brooklyn?osq=Restaurants
Mémé Mediterranean,(646) 692-8450,581 Hudson St,574,4,$$,"['Mediterranean', 'Salad', 'Seafood']",West Village,https://www.yelp.com/biz/m%C3%A9m%C3%A9-mediterranean-new-york-4?osq=Restaurants
Boqueria,(212) 255-6047,260 W 40th St,319,4,$$,"['Tapas/Small Plates', 'Spanish', 'Tapas Bars']",Midtown West,https://www.yelp.com/biz/boqueria-new-york-14?osq=Restaurants
Quality Italian,(212) 390-1111,57 W 57th St,1019,4,$$$,"['Italian', 'Steakhouses']",Midtown West,https://www.yelp.com/biz/quality-italian-new-york?osq=Restaurants
Seamore’s,(718) 663-6550,66 Water St,89,4,$$,['Seafood'],DUMBO,https://www.yelp.com/biz/seamores-brooklyn?osq=Restaurants
Aquavit,(212) 307-7311,65 E 55th St,718,4,$$$$,['Scandinavian'],Midtown East,https://www.yelp.com/biz/aquavit-new-york?osq=Restaurants
Sagaponack Bar & Grill,(212) 229-2226,4 W 22nd St,347,4,$$,"['Bars', 'American (New)', 'Seafood']",Flatiron,https://www.yelp.com/biz/sagaponack-bar-and-grill-new-york-2?osq=Restaurants
High Lúa Vietnamese Kitchen,(347) 844-9666,182 S 2nd St,100,4.5,$$,['Vietnamese'],Williamsburg - South Side,https://www.yelp.com/biz/high-l%C3%BAa-vietnamese-kitchen-brooklyn?osq=Restaurants
Ashoka Indian Restaurant,(212) 875-1400,489 Columbus Ave,237,4.5,$$,['Indian'],Upper West Side,https://www.yelp.com/biz/ashoka-indian-restaurant-new-york?osq=Restaurants
Boulud Sud,(212) 595-1313,20 West 64th Street,718,4,$$$,['Mediterranean'],Upper West Side,https://www.yelp.com/biz/boulud-sud-new-york?osq=Restaurants
Bustan,(212) 595-5050,487 Amsterdam Ave,486,4,$$,"['Mediterranean', 'Middle Eastern']",Upper West Side,https://www.yelp.com/biz/bustan-new-york?osq=Restaurants
Riverpark,(212) 729-9790,450 E 29th St,787,4,$$$,"['American (New)', 'Breakfast & Brunch', 'Venues & Event Spaces']",Kips Bay,https://www.yelp.com/biz/riverpark-new-york?osq=Restaurants
Kong Sihk Tong 港食堂,(646) 850-6140,65 Bayard St,167,4,$,"['Chinese', 'Hong Kong Style Cafe']",Chinatown,https://www.yelp.com/biz/kong-sihk-tong-%E6%B8%AF%E9%A3%9F%E5%A0%82-new-york?osq=Restaurants
Bunna Cafe,(347) 295-2227,1084 Flushing Ave,560,4.5,$$,"['Ethiopian', 'Vegan', 'African']",East Williamsburg,https://www.yelp.com/biz/bunna-cafe-brooklyn?osq=Restaurants
Bohemian Spirit Restaurant,(212) 861-1038,321 E 73rd St,76,4,$$,['Czech'],Upper East Side,https://www.yelp.com/biz/bohemian-spirit-restaurant-new-york?osq=Restaurants
Lobster House All You Can Eat Seafood,(718) 896-8811,95-25 Queens Blvd,421,3.5,$$$,"['Buffets', 'Cajun/Creole', 'Seafood']",Rego Park,https://www.yelp.com/biz/lobster-house-all-you-can-eat-seafood-rego-park-30?osq=Restaurants
The Paris Cafe,(212) 240-9797,119 South St,305,4,$$,"['Seafood', 'Bars', 'Cafes']",South Street Seaport,https://www.yelp.com/biz/the-paris-cafe-new-york?osq=Restaurants
CajunSea & Oyster Bar,(212) 564-7333,32 W 33rd St,1181,4,$$,"['Cajun/Creole', 'Seafood', 'Breakfast & Brunch']",Koreatown,https://www.yelp.com/biz/cajunsea-and-oyster-bar-new-york-4?osq=Restaurants
Favor Taste,(212) 256-0480,37 St Marks Pl,534,4,$$,"['Hot Pot', 'Barbeque', 'Chinese']",East Village,https://www.yelp.com/biz/99-favor-taste-new-york-13?osq=Restaurants
The Smith,(212) 685-4500,1150 Broadway,881,4,$$,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']",Flatiron,https://www.yelp.com/biz/the-smith-new-york-7?osq=Restaurants
Fresh Salt,(212) 962-0053,146 Beekman St,387,4,$$,"['Bars', 'American (New)', 'Italian']",South Street Seaport,https://www.yelp.com/biz/fresh-salt-new-york?osq=Restaurants
Mamasita Bar & Grill,(212) 315-9444,818 10th Ave,969,4,$$,"['Mexican', 'Bars']",Hell's Kitchen,https://www.yelp.com/biz/mamasita-bar-and-grill-new-york?osq=Restaurants
The Modern,(212) 333-1220,9 W 53rd St,965,4.5,$$$$,['American (New)'],Midtown West,https://www.yelp.com/biz/the-modern-new-york-3?osq=Restaurants
Canal Street Market,(646) 694-1655,265 Canal St,170,4,$$,['Food Court'],SoHo,https://www.yelp.com/biz/canal-street-market-new-york?osq=Restaurants
La Pecora Bianca,(212) 498-9696,1133 Broadway,510,4,$$,['Italian'],Flatiron,https://www.yelp.com/biz/la-pecora-bianca-new-york?osq=Restaurants
Mermaid Oyster Bar,(212) 260-0100,79 MacDougal St,1059,4,$$,"['Seafood', 'Live/Raw Food']",Greenwich Village,https://www.yelp.com/biz/mermaid-oyster-bar-new-york-2?osq=Restaurants
Mad For Chicken Williamsburg,(917) 909-1353,617 Grand St,67,4.5,$$,"['Chicken Wings', 'Gastropubs', 'Korean']",Williamsburg - North Side,https://www.yelp.com/biz/mad-for-chicken-williamsburg-brooklyn?osq=Restaurants
Cent’Anni,(718) 942-5201,742 Franklin Ave,400,3.5,$$,['Italian'],Crown Heights,https://www.yelp.com/biz/centanni-brooklyn?osq=Restaurants
Miss Ada,(917) 909-1023,184 Dekalb Ave,177,4.5,$$$,"['Mediterranean', 'Cocktail Bars']",Fort Greene,https://www.yelp.com/biz/miss-ada-brooklyn-2?osq=Restaurants
Ñaño Ecuadorian Kitchen,(646) 649-4678,691 10th Ave,531,4.5,$$,"['Latin American', 'Bars', 'Salad']",Hell's Kitchen,https://www.yelp.com/biz/%C3%B1a%C3%B1o-ecuadorian-kitchen-new-york?osq=Restaurants
GOGI 37,(646) 998-5907,252 West 37th St,283,3.5,$$,"['Bars', 'Korean', 'Barbeque']",Midtown West,https://www.yelp.com/biz/gogi-37-new-york?osq=Restaurants
Ashland,(347) 417-9114,156 Tillary St,24,4,$$,"['American (New)', 'Venues & Event Spaces', 'Cocktail Bars']",Downtown Brooklyn,https://www.yelp.com/biz/ashland-brooklyn?osq=Restaurants
Rosa Mexicano,(212) 977-7700,61 Columbus Ave,1155,3.5,$$,['Mexican'],Upper West Side,https://www.yelp.com/biz/rosa-mexicano-new-york-6?osq=Restaurants
Ayza Wine & Chocolate Bar,(347) 348-4248,11 W 31st St,1593,4,$$,"['Wine Bars', 'Desserts', 'Mediterranean']",Koreatown,https://www.yelp.com/biz/ayza-wine-and-chocolate-bar-new-york-6?osq=Restaurants
PortuGrill NYC,(917) 261-4001,1215 Lexington Ave,41,4,-,[],Upper East Side,https://www.yelp.com/biz/portugrill-nyc-new-york?osq=Restaurants
El Almacen,(718) 218-7284,557 Driggs Ave,640,4,$$,"['Argentine', 'Seafood', 'Steakhouses']",Williamsburg - North Side,https://www.yelp.com/biz/el-almacen-brooklyn?osq=Restaurants
Grand Seoul,(212) 226-5555,85 Chrystie St,113,4,$$$,"['Korean', 'Barbeque', 'Buffets']",Lower East Side,https://www.yelp.com/biz/grand-seoul-new-york-2?osq=Restaurants
Superfine,(646) 902-5859,126 Front St,443,3.5,$$,"['Bars', 'American (New)']",DUMBO,https://www.yelp.com/biz/superfine-brooklyn?osq=Restaurants
Ammazzacaffè,(929) 250-2875,702 Grand St,139,4.5,$$,"['Cocktail Bars', 'Italian', 'Wine Bars']",East Williamsburg,https://www.yelp.com/biz/ammazzacaff%C3%A8-brooklyn?osq=Restaurants
Set L.E.S,(212) 982-8225,127 Ludlow St,414,4,$$,"['Gastropubs', 'Asian Fusion', 'American (New)']",Lower East Side,https://www.yelp.com/biz/set-l-e-s-new-york?osq=Restaurants
Laut Singapura,(646) 429-9986,31 E 20th St,42,4,-,[],Flatiron,https://www.yelp.com/biz/laut-singapura-new-york?osq=Restaurants
Hart’s Restaurant,(718) 636-6228,506 Franklin Ave,85,4.5,$$,['American (New)'],Clinton Hill,https://www.yelp.com/biz/harts-restaurant-brooklyn-2?osq=Restaurants
Popina,(718) 222-1901,127 Columbia St,47,4.5,$$,"['Southern', 'Italian']",Columbia Street Waterfront District,https://www.yelp.com/biz/popina-brooklyn?osq=Restaurants
Aurora Soho,(212) 334-9020,510 Broome St,442,4,$$$,"['Italian', 'Breakfast & Brunch', 'Wine Bars']",South Village,https://www.yelp.com/biz/aurora-soho-new-york?osq=Restaurants
Marlow & Sons,(718) 384-1441,81 Broadway,526,4,$$$,['American (New)'],South Williamsburg,https://www.yelp.com/biz/marlow-and-sons-brooklyn-2?osq=Restaurants
Aita,(718) 576-3584,132 Greene Ave,248,4,$$,['Italian'],Clinton Hill,https://www.yelp.com/biz/aita-brooklyn?osq=Restaurants
Galata Mediterranean Cuisine,(212) 683-9206,212 E 34th St,328,4.5,$$,"['Turkish', 'Mediterranean', 'Halal']",Murray Hill,https://www.yelp.com/biz/galata-mediterranean-cuisine-new-york?osq=Restaurants
Balaboosta,(212) 390-1545,611 Hudson St,36,4,-,[],West Village,https://www.yelp.com/biz/balaboosta-new-york-3?osq=Restaurants
Luke’s Lobster Brooklyn Bridge Park,(917) 882-7516,11 Water St,304,4,$$,['Seafood'],DUMBO,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?osq=Restaurants
Don Wagyu,348 Bowery,NoHo,45,4,-,[],NoHo,https://www.yelp.com/biz/don-wagyu-new-york?osq=Restaurants
Maison Pickle,(212) 496-9100,2313 Broadway,832,4,$$,"['Cocktail Bars', 'Comfort Food', 'Sandwiches']",Upper West Side,https://www.yelp.com/biz/maison-pickle-new-york?osq=Restaurants
Habana Outpost,(718) 858-9500,757 Fulton St,999,4,$$,['Cuban'],Fort Greene,https://www.yelp.com/biz/habana-outpost-brooklyn?osq=Restaurants
The NoMad Restaurant,(347) 472-5660,1170 Broadway,1433,4,$$$,"['French', 'American (New)', 'Gastropubs']",Flatiron,https://www.yelp.com/biz/the-nomad-restaurant-new-york?osq=Restaurants
Kevin’s,(718) 596-8335,277A Van Brunt St,150,4,$$,['Seafood'],Red Hook,https://www.yelp.com/biz/kevins-brooklyn?osq=Restaurants
Saiguette,(212) 866-6888,935 Columbus Ave,584,4.5,$$,['Vietnamese'],Manhattan Valley,https://www.yelp.com/biz/saiguette-new-york?osq=Restaurants
Izakaya MEW,(646) 368-9384,53 W 35th St,2163,4,$$,"['Tapas Bars', 'Sushi Bars', 'Izakaya']",Midtown West,https://www.yelp.com/biz/izakaya-mew-new-york-3?osq=Restaurants
Totto Ramen,(212) 582-0052,366 W 52nd St,5343,4,$$,['Ramen'],Theater District,https://www.yelp.com/biz/totto-ramen-new-york-15?osq=Restaurants
Tim Ho Wan Hell’s Kitchen,(212) 228-2802,610 9th Ave,285,3.5,$$,"['Dim Sum', 'Cantonese']",Midtown West,https://www.yelp.com/biz/tim-ho-wan-hells-kitchen-new-york?osq=Restaurants
Lighthouse,(347) 789-7742,145 Borinquen Pl,253,4,$$,"['Bars', 'Modern European', 'American (New)']",Williamsburg - South Side,https://www.yelp.com/biz/lighthouse-brooklyn-2?osq=Restaurants
Cafe Habana,(212) 625-2001,17 Prince St,3120,4,$$,"['Cuban', 'Mexican']",Nolita,https://www.yelp.com/biz/cafe-habana-new-york-4?osq=Restaurants
Gato,(212) 334-6400,324 Lafayette St,1112,4,$$$,"['Mediterranean', 'Spanish', 'Bars']",NoHo,https://www.yelp.com/biz/gato-new-york?osq=Restaurants
Philippe By Philippe Chow,(212) 644-8885,33 E 60th St,660,3.5,$$$,"['Chinese', 'Asian Fusion']",Upper East Side,https://www.yelp.com/biz/philippe-by-philippe-chow-new-york?osq=Restaurants
Hatsuhana Sushi Restaurant,(212) 355-3345,17 E 48th St,1263,4,$$$,"['Japanese', 'Sushi Bars']",Midtown East,https://www.yelp.com/biz/hatsuhana-sushi-restaurant-new-york?osq=Restaurants
Cookshop,(212) 924-4440,156 10th Ave,2045,4,$$,"['American (New)', 'Breakfast & Brunch', 'Wine Bars']",Chelsea,https://www.yelp.com/biz/cookshop-new-york?osq=Restaurants
The Ryerson,(347) 406-9703,698 Nostrand Ave,26,5,-,[],Crown Heights,https://www.yelp.com/biz/the-ryerson-brooklyn?osq=Restaurants
Pies-n-Thighs,(347) 529-6090,166 S 4th St,2783,4,$$,"['Southern', 'Barbeque', 'Breakfast & Brunch']",Williamsburg - South Side,https://www.yelp.com/biz/pies-n-thighs-brooklyn?osq=Restaurants
Claro,(347) 721-3126,284 3rd Ave,153,4,$$,['Mexican'],Gowanus,https://www.yelp.com/biz/claro-brooklyn?osq=Restaurants
Shu Jiao Fu Zhou Cuisine Restaurant,(212) 625-2532,118 Eldridge St,764,4.5,$,['Chinese'],Lower East Side,https://www.yelp.com/biz/shu-jiao-fu-zhou-cuisine-restaurant-new-york?osq=Restaurants
Acqua Restaurant NYC,(212) 349-4433,"21 Peck Slip, Water St",357,4,$$,"['Seafood', 'Italian', 'Wine Bars']",South Street Seaport,https://www.yelp.com/biz/acqua-restaurant-nyc-new-york?osq=Restaurants
Santiago’s Beer Garden,(646) 349-2948,2337 1st Ave,124,4.5,$$,"['Dominican', 'Beer Gardens', 'Sports Bars']",East Harlem,https://www.yelp.com/biz/santiagos-beer-garden-new-york?osq=Restaurants
Cask Bar & Kitchen,(212) 300-4924,167 E 33rd St,1317,4,$$,"['Bars', 'American (New)', 'Breakfast & Brunch']",Murray Hill,https://www.yelp.com/biz/cask-bar-and-kitchen-new-york?osq=Restaurants
Samba Kitchen,(646) 982-9957,661 9th Ave,420,4.5,$$,"['Brazilian', 'Latin American', 'Breakfast & Brunch']",Midtown West,https://www.yelp.com/biz/samba-kitchen-new-york-5?osq=Restaurants
Heidi’s House By The Side Of The Road,(212) 249-0069,308 E 78th St,588,4.5,$$,"['Wine Bars', 'Comfort Food', 'Gluten-Free']",Upper East Side,https://www.yelp.com/biz/heidis-house-by-the-side-of-the-road-new-york-2?osq=Restaurants
